,val_loss,val_acc,loss,acc
0,0.696772575252137,0.4830508474576271,0.6678034757165348,0.5576470588235294
1,0.6585558827145624,0.5508474576271186,0.6354942083358764,0.64
2,0.6454335567936048,0.6186440677966102,0.6066150115518009,0.6658823529411765
3,0.6306928070419926,0.635593220338983,0.5896371598804698,0.7011764705882353
4,0.6117126420140266,0.6779661016949152,0.5928460635858424,0.7035294117647058
5,0.6026287649647665,0.652542372881356,0.5879045981519363,0.6635294117647059
6,0.6113516310766592,0.652542372881356,0.5714094462114222,0.7223529411764706
7,0.6152152169053837,0.6610169491525424,0.5669852565316593,0.7082352941176471
8,0.6128785925901542,0.6779661016949152,0.5545238468226265,0.7058823529411765
9,0.6011993593331111,0.6694915254237288,0.5410293680078843,0.7435294117647059
10,0.6085487874382633,0.6864406779661016,0.5407096536019269,0.7341176470588235
11,0.6294447097737911,0.6440677966101694,0.543673695676467,0.7388235294117647
12,0.6269208786346144,0.635593220338983,0.5471876408072079,0.7294117647058823
13,0.6625039528865936,0.576271186440678,0.5255815123109256,0.7435294117647059
14,0.6580424450843011,0.635593220338983,0.5101646954873029,0.7552941176470588
